wkt_geom,상가업소번,상호명,지점명,상권업종대,상권업종_1,상권업종중,상권업종_2,상권업종소,상권업종_3,표준산업분,표준산업_1,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
Point (193007.84087640960933641 450061.94975576299475506),16586974,코마이스케이프,홍대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,1,서울특별시 마포구 서교동 403-1,1.14403E+11,서울특별시 마포구 어울마당로,55,,1.14E+23,,서울특별시 마포구 어울마당로 55,121895,4048,,,,126.9208731,37.55004963
Point (192939.68639148972579278 449888.21783464006148279),16582772,돈까스잔치,홍대점,Q,음식,Q06,양식,Q06A02,돈가스전문점,I56114,서양식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,402,22,서울특별시 마포구 서교동 402-22,1.14403E+11,서울특별시 마포구 어울마당로,35,,1.14E+23,,서울특별시 마포구 어울마당로 35,121895,4048,,,,126.9201035,37.54848379
Point (192773.98182688947417773 449953.45813967101275921),12438940,빼레,,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,I56113,일식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,399,4,서울특별시 마포구 서교동 399-4,1.14404E+11,서울특별시 마포구 독막로5길,23,,1.14E+23,,서울특별시 마포구 독막로5길 23,121840,4047,,1,,126.9182277,37.54907032
Point (193005.25460722082061693 449928.91718724026577547),23160419,O2바디앤풋,,F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,,,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,408,29,서울특별시 마포구 서교동 408-29,1.14403E+11,서울특별시 마포구 어울마당로,44,,1.14E+23,,서울특별시 마포구 어울마당로 44,121895,4049,,1,,126.9208451,37.54885099
Point (192906.36223415564745665 450011.8680631568422541),16969036,살롱드꼼,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,404,19,서울특별시 마포구 서교동 404-19,1.14404E+11,서울특별시 마포구 독막로7길,42,,1.14E+23,가물빌딩,서울특별시 마포구 독막로7길 42,121895,4048,,,,126.9197252,37.54959762
Point (193013.51372825042926706 449904.00451673293719068),16984880,촨치마라탕,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,411,12,서울특별시 마포구 서교동 411-12,1.14404E+11,서울특별시 마포구 와우산로15길,49,,1.14E+23,,서울특별시 마포구 와우산로15길 49,121895,4049,,,,126.9209388,37.54862659
Point (192853.32730951634584926 450015.3042034701211378),21932070,사치,,D,소매,D06,가방/신발/액세서리,D06A05,액세서리판매,G47419,"기타 섬유, 직물 및 의복액세서리 소매업",11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,398,16,서울특별시 마포구 서교동 398-16,1.14404E+11,서울특별시 마포구 어울마당로5길,28,,1.14E+23,,서울특별시 마포구 어울마당로5길 28,121840,4047,,,,126.919125,37.54962817
Point (193065.41018964539398439 450102.56309649627655745),15710677,신주닭발,,Q,음식,Q05,닭/오리요리,Q05A10,닭내장/닭발요리,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,407,19,서울특별시 마포구 서교동 407-19,1.14404E+11,서울특별시 마포구 와우산로17길,24,3,1.14E+23,,서울특별시 마포구 와우산로17길 24-3,121895,4049,,1,,126.9215242,37.55041599
Point (192799.76440463250037283 450255.74291963817086071),16245622,서교법률사무소,,F,생활서비스,F19,법무세무회계,F19B01,법무관련서비스-종합,,,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,5,서울특별시 마포구 서교동 395-5,1.14404E+11,서울특별시 마포구 양화로12길,24,,1.14E+23,선진빌딩,서울특별시 마포구 양화로12길 24,121840,4043,,2,,126.9185165,37.5517941
Point (192675.8072684291691985 449875.41072893189266324),16579726,샤론꽃농원,,D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,412,22,서울특별시 마포구 합정동 412-22,1.14403E+11,서울특별시 마포구 독막로,33,,1.14E+23,,서울특별시 마포구 독막로 33,121883,4047,,,,126.9171175,37.54836634
Point (192912.9838660211826209 449859.93306622444652021),16214826,프라이빗썰플러스,,F,생활서비스,F06,사진,F06A01,사진관,M73301,인물사진 및 행사용비디오 촬영업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,410,21,서울특별시 마포구 합정동 410-21,1.14404E+11,서울특별시 마포구 양화로6길,102,,1.14E+23,정원빌딩,서울특별시 마포구 양화로6길 102,121883,4048,,4,401,126.9198016,37.54822874
Point (193041.2720042672008276 449927.29981129086809233),24317002,레끌레,,D,소매,D05,의복의류,D05A01,일반의류,G47416,셔츠 및 기타 의복 소매업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,411,18,서울특별시 마포구 서교동 411-18,1.14404E+11,서울특별시 마포구 와우산로13길,40,,1.14E+23,,서울특별시 마포구 와우산로13길 40,121895,4049,,1,,126.9212527,37.54883669
Point (192866.12041602918179706 449940.43730019131908193),23237939,숨은그림,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,401,12,서울특별시 마포구 서교동 401-12,1.14404E+11,서울특별시 마포구 독막로7길,26,,1.14E+23,,서울특별시 마포구 독막로7길 26,121895,4048,,2,,126.9192705,37.54895372
Point (192898.59360284658032469 449896.78118062712019309),16468810,다안,,D,소매,D05,의복의류,D05A06,맞춤양장/양장점,G47413,남녀용 정장 소매업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,402,5,서울특별시 마포구 서교동 402-5,1.14404E+11,서울특별시 마포구 독막로9길,6,,1.14E+23,,서울특별시 마포구 독막로9길 6,121895,4048,,지,,126.9196384,37.54856063
Point (192571.2768495392811019 450113.30772623023949564),16597143,발레썸,,R,학문/교육,R05,학원-음악미술무용,R05A05,학원-무용,P85620,예술 학원,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,46,서울특별시 마포구 서교동 395-46,1.14404E+11,서울특별시 마포구 양화로8길,5,,1.14E+23,소천빌딩,서울특별시 마포구 양화로8길 5,121840,4044,,,,126.9159322,37.55050895
Point (192592.58299511860241182 449896.52674315741751343),16591081,인테리어필름,로즈상사,D,소매,D07,가정/주방/인테리어,D07A01,인테리어/욕실용품/커튼,G47599,그외 기타 분류안된 가정용품 소매업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,413,6,서울특별시 마포구 합정동 413-6,1.14403E+11,서울특별시 마포구 독막로,25,,1.14E+23,,서울특별시 마포구 독막로 25,121883,4046,,,,126.9161755,37.54855593
Point (192647.1182650608534459 449940.10770928184501827),23492695,또보겠지떡볶이집,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,396,32,서울특별시 마포구 서교동 396-32,1.14404E+11,서울특별시 마포구 양화로6길,45,,1.14E+23,,서울특별시 마포구 양화로6길 45,121840,4047,,2,,126.9167922,37.54894903
Point (192582.90980624541407451 449959.42565704393200576),16377990,살롱드에드가,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,394,17,서울특별시 마포구 서교동 394-17,1.14404E+11,서울특별시 마포구 양화로6길,33,,1.14E+23,홍타운,서울특별시 마포구 양화로6길 33,121893,4044,,4,,126.9160654,37.54912257
Point (193149.54235032372525893 450090.45774472848279402),14101478,와우인테리어,,D,소매,D07,가정/주방/인테리어,D07A01,인테리어/욕실용품/커튼,G47599,그외 기타 분류안된 가정용품 소매업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,407,6,서울특별시 마포구 서교동 407-6,1.14404E+11,서울특별시 마포구 와우산로17길,10,,1.14E+23,,서울특별시 마포구 와우산로17길 10,121895,4049,,2,,126.9224764,37.55030755
Point (193022.10117728309705853 449849.09372909599915147),23477044,헤어아쭈,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,316,10,서울특별시 마포구 상수동 316-10,1.14403E+11,서울특별시 마포구 독막로,67,6,1.14E+23,HADA빌딩,서울특별시 마포구 독막로 67-6,121829,4049,,4,,126.9210365,37.54813191
Point (192876.02541482687229291 449949.54314100340707228),12454488,캉골홍대직영점,홍대직영점,D,소매,D05,의복의류,D05A01,일반의류,G47416,셔츠 및 기타 의복 소매업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,401,20,서울특별시 마포구 서교동 401-20,1.14404E+11,서울특별시 마포구 독막로7길,28,,1.14E+23,,서울특별시 마포구 독막로7길 28,121895,4048,,1,,126.9193825,37.54903584
Point (193172.27547247256734408 450021.69745242793578655),12454489,와일드혹스,,D,소매,D05,의복의류,D05A09,남성의류전문점,,,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,90,2,서울특별시 마포구 상수동 90-2,1.14404E+11,서울특별시 마포구 와우산로13길,7,,1.14E+23,,서울특별시 마포구 와우산로13길 7,121828,4049,,2,,126.9227343,37.54968819
Point (192653.52149224138702266 449996.17877236375352368),19998681,솔내한옥집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,32,서울특별시 마포구 서교동 395-32,1.14404E+11,서울특별시 마포구 독막로3길,21,4,1.14E+23,,서울특별시 마포구 독막로3길 21-4,121840,4044,,1,,126.9168641,37.54945428
Point (192950.03364855807740241 450137.33732979145133868),24485217,홈재즈실용음악학원,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,17,서울특별시 마포구 서교동 395-17,1.14403E+11,서울특별시 마포구 잔다리로,23,,1.14E+23,,서울특별시 마포구 잔다리로 23,121840,4043,,5,,126.9202182,37.55072843
Point (192983.07062101771589369 450039.68534360383637249),16991345,제로타임,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,4,서울특별시 마포구 서교동 403-4,1.14404E+11,서울특별시 마포구 독막로9길,38,,1.14E+23,DE빌딩,서울특별시 마포구 독막로9길 38,121895,4048,,,,126.920593,37.54984884
Point (192854.44277334181242622 450192.32260033243801445),17262893,티르티르홍대카페앤쇼룸,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,106,서울특별시 마포구 서교동 395-106,1.14404E+11,서울특별시 마포구 잔다리로3안길,5,,1.14E+23,,서울특별시 마포구 잔다리로3안길 5,121840,4043,,,,126.9191359,37.55122311
Point (193018.30140022639534436 450112.06317934358958155),25792466,커피잔속에테르,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,405,2,서울특별시 마포구 서교동 405-2,1.14403E+11,서울특별시 마포구 어울마당로,61,,1.14E+23,,서울특별시 마포구 어울마당로 61,121895,4048,,,,126.920991,37.55050123
